date,xlre_close,spy_close,vnq_close,hyg_close,uup_close,dbc_close,tlt_close,tnx
2026-01-01,39.9400,499.7600,84.9250,77.9750,28.0000,24.0000,92.0000,4.1000
2026-01-02,40.0050,500.0900,85.0350,77.9950,27.9950,24.0250,92.0200,4.1020
2026-01-03,40.0700,500.4200,85.1450,78.0150,27.9900,24.0500,92.0400,4.1040
2026-01-04,40.1350,500.7500,85.2550,78.0350,27.9850,24.0750,92.0600,4.1060
2026-01-05,40.2000,501.0800,85.1650,78.0550,27.9800,24.1000,92.0800,4.1080
2026-01-06,40.1150,501.4100,85.2750,78.0750,27.9750,24.1250,92.1000,4.1100
2026-01-07,40.1800,501.7400,85.3850,78.0350,27.9700,24.1500,92.1200,4.1120
2026-01-08,40.2450,501.5100,85.4950,78.0550,27.9650,24.1750,92.1400,4.1140
2026-01-09,40.3100,501.8400,85.4050,78.0750,27.9600,24.2000,92.1600,4.1160
2026-01-10,40.3750,502.1700,85.5150,78.0950,27.9550,24.2250,92.1800,4.1180
2026-01-11,40.2900,502.5000,85.6250,78.1150,27.9500,24.2500,92.2000,4.1200
2026-01-12,40.3550,502.8300,85.7350,78.1350,27.9450,24.2750,92.2200,4.1220
2026-01-13,40.4200,503.1600,85.6450,78.0950,27.9400,24.3000,92.2400,4.1240
2026-01-14,40.4850,503.4900,85.7550,78.1150,27.9350,24.3250,92.2600,4.1260
2026-01-15,40.5500,503.2600,85.8650,78.1350,27.9300,24.3500,92.2800,4.1280
2026-01-16,40.4650,503.5900,85.9750,78.1550,27.9250,24.3750,92.3000,4.1300
2026-01-17,40.5300,503.9200,85.8850,78.1750,27.9200,24.4000,92.3200,4.1320
2026-01-18,40.5950,504.2500,85.9950,78.1950,27.9150,24.4250,92.3400,4.1340
2026-01-19,40.6600,504.5800,86.1050,78.1550,27.9100,24.4500,92.3600,4.1360
2026-01-20,40.7250,504.9100,86.2150,78.1750,27.9050,24.4750,92.3800,4.1380
2026-01-21,40.6400,505.2400,86.1250,78.1950,27.9000,24.5000,92.4000,4.1400
2026-01-22,40.7050,505.0100,86.2350,78.2150,27.8950,24.5250,92.4200,4.1420
2026-01-23,40.7700,505.3400,86.3450,78.2350,27.8900,24.5500,92.4400,4.1440
2026-01-24,40.8350,505.6700,86.4550,78.2550,27.8850,24.5750,92.4600,4.1460
2026-01-25,40.9000,506.0000,86.3650,78.2150,27.8800,24.6000,92.4800,4.1480
2026-01-26,40.8150,506.3300,86.4750,78.2350,27.8750,24.6250,92.5000,4.1500
2026-01-27,40.8800,506.6600,86.5850,78.2550,27.8700,24.6500,92.5200,4.1520
2026-01-28,40.9450,506.9900,86.6950,78.2750,27.8650,24.6750,92.5400,4.1540
2026-01-29,41.0100,506.7600,86.6050,78.2950,27.8600,24.7000,92.5600,4.1560
2026-01-30,41.0750,507.0900,86.7150,78.3150,27.8550,24.7250,92.5800,4.1580
2026-01-31,40.9900,507.4200,86.8250,78.2750,27.8500,24.7500,92.6000,4.1600
2026-02-01,41.0550,507.7500,86.9350,78.2950,27.8450,24.7750,92.6200,4.1620
2026-02-02,41.1200,508.0800,86.8450,78.3150,27.8400,24.8000,92.6400,4.1640
2026-02-03,41.1850,508.4100,86.9550,78.3350,27.8350,24.8250,92.6600,4.1660
2026-02-04,41.2500,508.7400,87.0650,78.3550,27.8300,24.8500,92.6800,4.1680
2026-02-05,41.1650,508.5100,87.1750,78.3750,27.8250,24.8750,92.7000,4.1700
2026-02-06,41.2300,508.8400,87.0850,78.3350,27.8200,24.9000,92.7200,4.1720
2026-02-07,41.2950,509.1700,87.1950,78.3550,27.8150,24.9250,92.7400,4.1740
2026-02-08,41.3600,509.5000,87.3050,78.3750,27.8100,24.9500,92.7600,4.1760
2026-02-09,41.4250,509.8300,87.4150,78.3950,27.8050,24.9750,92.7800,4.1780
2026-02-10,41.3400,510.1600,87.3250,78.4150,27.8000,25.0000,92.8000,4.1800
2026-02-11,41.4050,510.4900,87.4350,78.4350,27.7950,25.0250,92.8200,4.1820
2026-02-12,41.4700,510.2600,87.5450,78.3950,27.7900,25.0500,92.8400,4.1840
2026-02-13,41.5350,510.5900,87.6550,78.4150,27.7850,25.0750,92.8600,4.1860
2026-02-14,41.6000,510.9200,87.5650,78.4350,27.7800,25.1000,92.8800,4.1880
2026-02-15,41.5150,511.2500,87.6750,78.4550,27.7750,25.1250,92.9000,4.1900
2026-02-16,41.5800,511.5800,87.7850,78.4750,27.7700,25.1500,92.9200,4.1920
2026-02-17,41.6450,511.9100,87.8950,78.4950,27.7650,25.1750,92.9400,4.1940
2026-02-18,41.7100,512.2400,87.8050,78.4550,27.7600,25.2000,92.9600,4.1960
2026-02-19,41.7750,512.0100,87.9150,78.4750,27.7550,25.2250,92.9800,4.1980
2026-02-20,41.6900,512.3400,88.0250,78.4950,27.7500,25.2500,93.0000,4.2000
2026-02-21,41.7550,512.6700,88.1350,78.5150,27.7450,25.2750,93.0200,4.2020
2026-02-22,41.8200,513.0000,88.0450,78.5350,27.7400,25.3000,93.0400,4.2040
2026-02-23,41.8850,513.3300,88.1550,78.5550,27.7350,25.3250,93.0600,4.2060
2026-02-24,41.9500,513.6600,88.2650,78.5150,27.7300,25.3500,93.0800,4.2080
2026-02-25,41.8650,513.9900,88.3750,78.5350,27.7250,25.3750,93.1000,4.2100
2026-02-26,41.9300,513.7600,88.2850,78.5550,27.7200,25.4000,93.1200,4.2120
2026-02-27,41.9950,514.0900,88.3950,78.5750,27.7150,25.4250,93.1400,4.2140
2026-02-28,42.0600,514.4200,88.5050,78.5950,27.7100,25.4500,93.1600,4.2160
2026-03-01,42.1250,514.7500,88.6150,78.6150,27.7050,25.4750,93.1800,4.2180
2026-03-02,42.0400,515.0800,88.5250,78.5750,27.7000,25.5000,93.2000,4.2200
2026-03-03,42.1050,515.4100,88.6350,78.5950,27.6950,25.5250,93.2200,4.2220
2026-03-04,42.1700,515.7400,88.7450,78.6150,27.6900,25.5500,93.2400,4.2240
2026-03-05,42.2350,515.5100,88.8550,78.6350,27.6850,25.5750,93.2600,4.2260
2026-03-06,42.3000,515.8400,88.7650,78.6550,27.6800,25.6000,93.2800,4.2280
2026-03-07,42.2150,516.1700,88.8750,78.6750,27.6750,25.6250,93.3000,4.2300
2026-03-08,42.2800,516.5000,88.9850,78.6350,27.6700,25.6500,93.3200,4.2320
2026-03-09,42.3450,516.8300,89.0950,78.6550,27.6650,25.6750,93.3400,4.2340
2026-03-10,42.4100,517.1600,89.0050,78.6750,27.6600,25.7000,93.3600,4.2360
2026-03-11,42.4750,517.4900,89.1150,78.6950,27.6550,25.7250,93.3800,4.2380
2026-03-12,42.3900,517.2600,89.2250,78.7150,27.6500,25.7500,93.4000,4.2400
2026-03-13,42.4550,517.5900,89.3350,78.7350,27.6450,25.7750,93.4200,4.2420
2026-03-14,42.5200,517.9200,89.2450,78.6950,27.6400,25.8000,93.4400,4.2440
2026-03-15,42.5850,518.2500,89.3550,78.7150,27.6350,25.8250,93.4600,4.2460
2026-03-16,42.6500,518.5800,89.4650,78.7350,27.6300,25.8500,93.4800,4.2480
2026-03-17,42.5650,518.9100,89.5750,78.7550,27.6250,25.8750,93.5000,4.2500
2026-03-18,42.6300,519.2400,89.4850,78.7750,27.6200,25.9000,93.5200,4.2520
2026-03-19,42.6950,519.0100,89.5950,78.7950,27.6150,25.9250,93.5400,4.2540
2026-03-20,42.7600,519.3400,89.7050,78.7550,27.6100,25.9500,93.5600,4.2560
2026-03-21,42.8250,519.6700,89.8150,78.7750,27.6050,25.9750,93.5800,4.2580
2026-03-22,42.7400,520.0000,89.7250,78.7950,27.6000,26.0000,93.6000,4.2600
2026-03-23,42.8050,520.3300,89.8350,78.8150,27.5950,26.0250,93.6200,4.2620
2026-03-24,42.8700,520.6600,89.9450,78.8350,27.5900,26.0500,93.6400,4.2640
2026-03-25,42.9350,520.9900,90.0550,78.8550,27.5850,26.0750,93.6600,4.2660
2026-03-26,43.0000,520.7600,89.9650,78.8150,27.5800,26.1000,93.6800,4.2680
2026-03-27,42.9150,521.0900,90.0750,78.8350,27.5750,26.1250,93.7000,4.2700
2026-03-28,42.9800,521.4200,90.1850,78.8550,27.5700,26.1500,93.7200,4.2720
2026-03-29,43.0450,521.7500,90.2950,78.8750,27.5650,26.1750,93.7400,4.2740
2026-03-30,43.1100,522.0800,90.2050,78.8950,27.5600,26.2000,93.7600,4.2760
2026-03-31,43.1750,522.4100,90.3150,78.9150,27.5550,26.2250,93.7800,4.2780
